Category,Page,Post Type,Rating,Debate,share_count,reaction_count,comment_count
2,1,4,4,0,96.0,146.0,15.0
2,1,1,3,0,1.0,33.0,34.0
2,1,1,3,0,34.0,63.0,27.0
2,1,1,3,0,35.0,170.0,86.0
2,1,4,3,0,568.0,3188.0,2815.0
2,1,1,3,0,23.0,28.0,21.0
2,1,4,3,0,46.0,409.0,105.0
2,1,1,3,0,7.0,62.0,64.0
2,1,1,3,0,7.0,39.0,6.0
2,1,4,3,0,152.0,278.0,59.0
2,1,1,3,0,8.0,29.0,14.0
2,1,1,3,0,96.0,10.0,0.0
2,1,4,3,0,37.0,507.0,164.0
2,1,1,3,0,4.0,23.0,2.0
2,1,4,3,0,10.0,85.0,29.0
2,1,1,3,0,10.0,41.0,14.0
2,1,4,4,0,3.0,9.0,3.0
2,1,4,3,0,96.0,16.0,20.0
2,1,1,3,0,15.0,276.0,74.0
2,1,1,3,0,56.0,300.0,65.0
2,1,4,3,0,64.0,480.0,130.0
2,1,1,3,0,6.0,33.0,5.0
2,1,4,3,0,289.0,674.0,243.0
2,1,1,3,0,2.0,18.0,11.0
2,1,4,4,0,96.0,24.0,7.0
2,1,4,4,0,5.0,19.0,6.0
2,1,4,3,0,30.0,268.0,177.0
2,1,1,3,0,50.0,157.0,129.0
2,1,4,4,0,96.0,47.0,6.0
2,1,1,3,0,13.0,101.0,73.0
2,1,4,4,0,25.0,207.0,108.0
2,1,1,3,0,2.0,37.0,25.0
2,1,1,3,0,25.0,263.0,87.0
2,1,1,3,0,15.0,106.0,29.0
2,1,1,3,0,3.0,24.0,6.0
2,1,1,3,0,23.0,98.0,8.0
2,1,1,3,0,5.0,36.0,20.0
2,1,1,1,0,117.0,614.0,70.0
2,1,1,3,0,6.0,45.0,23.0
2,1,4,3,0,96.0,233.0,32.0
2,1,4,3,0,24.0,211.0,46.0
2,1,1,3,0,1.0,23.0,15.0
2,1,4,3,0,231.0,572.0,76.0
2,1,1,3,0,31.0,170.0,97.0
2,1,1,3,0,96.0,13.0,4.0
2,1,4,4,0,96.0,39.0,6.0
2,1,4,3,0,104.0,627.0,206.0
2,1,4,3,0,30.0,25.0,13.0
2,1,1,3,0,15.0,209.0,47.0
2,1,1,3,0,3.0,29.0,5.0
2,1,1,3,0,4.0,80.0,44.0
2,1,1,3,0,339.0,430.0,231.0
